contrast,parcel,cluster,NETWORK,GLASSERLABELNAME,HEMISPHERE,prop
CUE_AVG,1,1002,Visual1,L_V1_ROI,L,0.942238267148014
CUE_AVG,2,1002,Visual2,L_MST_ROI,L,0.876712328767123
CUE_AVG,3,1002,Visual2,L_V6_ROI,L,0.982456140350877
CUE_AVG,4,1002,Visual2,L_V2_ROI,L,0.975767366720517
CUE_AVG,5,1002,Visual2,L_V3_ROI,L,0.997032640949555
CUE_AVG,6,1002,Visual2,L_V4_ROI,L,1
CUE_AVG,7,1002,Visual2,L_V8_ROI,L,1
CUE_AVG,10,1001,Cingulo-Opercular,L_FEF_ROI,L,0.908496732026144
CUE_AVG,11,1001,Dorsal-Attention,L_PEF_ROI,L,1
CUE_AVG,12,1001,Language,L_55b_ROI,L,0.938461538461539
CUE_AVG,13,1002,Visual2,L_V3A_ROI,L,0.986754966887417
CUE_AVG,14,1002,Frontoparietal,L_RSC_ROI,L,0.57345971563981
CUE_AVG,15,1002,Frontoparietal,L_POS2_ROI,L,0.952
CUE_AVG,16,1002,Visual2,L_V7_ROI,L,1
CUE_AVG,17,1002,Visual2,L_IPS1_ROI,L,1
CUE_AVG,18,1002,Visual2,L_FFC_ROI,L,1
CUE_AVG,19,1002,Visual2,L_V3B_ROI,L,1
CUE_AVG,20,1002,Visual2,L_LO1_ROI,L,1
CUE_AVG,21,1002,Visual2,L_LO2_ROI,L,1
CUE_AVG,22,1002,Visual2,L_PIT_ROI,L,1
CUE_AVG,23,1002,Visual2,L_MT_ROI,L,1
CUE_AVG,27,1002,Posterior-Multimodal,L_PCV_ROI,L,0.597560975609756
CUE_AVG,28,1002,Language,L_STV_ROI,L,0.630434782608696
CUE_AVG,29,1002,Frontoparietal,L_7Pm_ROI,L,0.797872340425532
CUE_AVG,34,1002,Default,L_d23ab_ROI,L,0.613636363636364
CUE_AVG,42,1,Somatomotor,L_7AL_ROI,L,0.67156862745098
CUE_AVG,43,1001,Cingulo-Opercular,L_SCEF_ROI,L,0.995073891625616
CUE_AVG,44,1001,Cingulo-Opercular,L_6ma_ROI,L,0.5
CUE_AVG,46,1002,Dorsal-Attention,L_7PL_ROI,L,1
CUE_AVG,48,1002,Visual2,L_LIPv_ROI,L,1
CUE_AVG,49,1002,Visual2,L_VIP_ROI,L,0.862068965517241
CUE_AVG,50,1002,Dorsal-Attention,L_MIP_ROI,L,1
CUE_AVG,56,1001,Somatomotor,L_6v_ROI,L,0.658823529411765
CUE_AVG,58,1002,Cingulo-Opercular,L_33pr_ROI,L,0.509090909090909
CUE_AVG,60,1001,Cingulo-Opercular,L_p32pr_ROI,L,0.755395683453237
CUE_AVG,65,7,Default,L_10r_ROI,L,0.840425531914894
CUE_AVG,73,1001,Frontoparietal,L_8C_ROI,L,0.750972762645914
CUE_AVG,74,1001,Language,L_44_ROI,L,0.546762589928058
CUE_AVG,78,1001,Cingulo-Opercular,L_6r_ROI,L,0.586776859504132
CUE_AVG,79,1001,Language,L_IFJa_ROI,L,1
CUE_AVG,80,1001,Frontoparietal,L_IFJp_ROI,L,1
CUE_AVG,81,1001,Language,L_IFSp_ROI,L,0.941747572815534
CUE_AVG,82,1001,Frontoparietal,L_IFSa_ROI,L,0.742138364779874
CUE_AVG,83,1001,Frontoparietal,L_p9-46v_ROI,L,0.6953125
CUE_AVG,95,1002,Dorsal-Attention,L_LIPd_ROI,L,1
CUE_AVG,96,1001,Dorsal-Attention,L_6a_ROI,L,0.855555555555556
CUE_AVG,97,1001,Frontoparietal,L_i6-8_ROI,L,0.953488372093023
CUE_AVG,98,1001,Frontoparietal,L_s6-8_ROI,L,0.872727272727273
CUE_AVG,103,3,Auditory,L_52_ROI,L,0.875
CUE_AVG,105,3,Cingulo-Opercular,L_PFcm_ROI,L,0.702290076335878
CUE_AVG,107,3,Auditory,L_TA2_ROI,L,0.577464788732394
CUE_AVG,111,1004,Frontoparietal,L_AVI_ROI,L,0.666666666666667
CUE_AVG,112,1004,Orbito-Affective,L_AAIC_ROI,L,0.5
CUE_AVG,114,4,Cingulo-Opercular,L_FOP3_ROI,L,0.642857142857143
CUE_AVG,117,1002,Dorsal-Attention,L_AIP_ROI,L,0.656957928802589
CUE_AVG,119,1002,Default,L_PreS_ROI,L,0.59748427672956
CUE_AVG,121,1002,Visual1,L_ProS_ROI,L,0.884057971014493
CUE_AVG,122,1002,Ventral-Multimodal,L_PeEc_ROI,L,0.628571428571429
CUE_AVG,123,1002,Language,L_STGa_ROI,L,0.929824561403509
